Instituição,Segmento BCB,Perfil,Elegibilidade,Grupo tem DTVM/adm.fid.?,CNPJ,UF,Município,Ativo Total (R$),Passivo Exigível (R$),Patrimônio Líquido (R$),Captações (R$),Carteira de Crédito (R$),TVM (R$),Maior escala (R$),Lucro Líquido (R$),Início atividade,Gestor CVM?,Nº fundos que gere,Adm.fiduciário?,Custodiante?,Nº classes que custodia,PL custodiado (R$),Telefone,E-mail,Site
FREEX SOCIEDADE CORRETORA DE CÂMBIO S.A.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,55.428.859/0001-98,SP,São Paulo,3196505.49,167935.28,3028570.21,,,2768868.96,3196505.49,-258848.01,2024,,,,,,,11 975560007,GUILHERME.MORAES@FREEXCAMBIO.COM.BR,WWW.FREEXCAMBIO.COM.BR
ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,37.414.009/0001-59,SP,São Paulo,3249838.82,2201367.28,1048471.54,,228652.02,,3249838.82,-95285.8000000007,2020,,,,,,,11 42106999,ADMINISTRATIVO@ZIPDIN.COM.BR,
SETHI SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,50.946.592/0001-07,SC,Florianópolis,3254923.59,29569.7,3225353.89,,1947219.97,1280158.17,3254923.59,40173.19,2023,,,,,,,49 984272236,PEREIRA@CONADEC.COM.BR,
BRCONDOS SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,49.933.388/0001-72,SC,Joinville,3287580.89,19852.55,3267728.34,2984.58,39073.86,3202041.34,3287580.89,44394.72,2023,,,,,,,47 38017616,CONTATO@SCD.BRCONDOS.COM.BR,
E.SIGA SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,56.030.613/0001-26,PR,São José Dos Pinhais,3303515.14,93994.43,3209520.71,,,,3303515.14,-76465.06,2024,,,,,,,11 987820464,WAGNER.MORARES@AESPARTNERS.COM.BR,
VUON SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,57.523.215/0001-04,SP,São Paulo,3455071.84,92541.79,3362530.05,,,42690.81,3455071.84,-382171.43,2024,,,,,,,11 21442600,FINANCEIRO@VUON.COM.BR,
BELVO INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,43.215.815/0001-09,SP,São Paulo,3471130.33,282854.84,3188275.49,,,,3471130.33,854247.42,2022,,,,,,,11 353055430,OUVIDORIA@BELVO.COM,WWW.BELVO.COM
VBS SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,54.264.235/0001-10,SP,São Paulo,3549250.22,52618.97,3496631.25,,2068.54,3409579.95,3549250.22,-414085.99,2024,,,,,,,11 975628488,EDUARDO.GOBBI@VECTOR-UNITECH.COM,HTTPS://VBS-SCD.COM.BR/
B3 INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,47.825.528/0001-63,SP,São Paulo,3627322.53,65454.17,3561868.36,,,3285389.86,3627322.53,-107955.89,,,,,,,,11 25654000,B3IP@B3.COM.BR,
P R DO BRASIL INSTITUICAO DE PAGAMENTOS LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,46.996.177/0001-90,SP,São Paulo,3700217.93,26523.09,3673694.84,,,3649729.48,3700217.93,64932.79,2025,,,,,,,11 916117991,ATENDIMENTO@PAYRETAILERS.COM,
DATANOMIK BRASIL INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,47.438.068/0001-10,SP,São Paulo,3794833.69,1176042.46,2618791.23,,,3296265.59,3794833.69,-99476.02,2024,,,,,,,11 978313597,LEGAL@DATANOMIK.COM,
A55 SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.756.121/0001-94,SP,São Paulo,4162873.36,1196996.14,2965877.22,1120183.59,362399.92,2667851.52,4162873.36,-25472.55,2023,,,,,,,11 986959235,JURIDICO@A55SCD.COM.BR,WWW.A55SCD.COM.BR
CREDPAR - SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.721.937/0001-82,MG,Uberlândia,4197990.4,3286642.11,911348.29,,3750358.89,,4197990.4,38739.1600000001,2023,,,,,,,34 996770056,ANDRECIA@CREDPAR.COM.BR,
DASCAM SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,65.645.137/0001-49,SP,São Paulo,4219835.99,1305584.95,2914251.04,,,1368477.71,4219835.99,-170699.18,1991,,,,,,,11 31129292,DASCAM.CORRETORA@DASCAM.COM.BR,WWW.DASCAM.COM.BR
SAYGO CORRETORA DE CÂMBIO S.A.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,40.333.582/0001-42,SP,Jundiaí,4260341.66,2939303.02,1321038.64,,,,4260341.66,248475.48,2021,,,,,,,11 974425469,CONTATO@ZEBRACAMBIO.COM.BR,HTTPS://ZEBRACAMBIO.COM.BR/
DAUX SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,34.846.868/0001-29,SP,Lins,4351436.23,333421.32,4018014.91,,3175013.32,1120199.85,4351436.23,-21015.9999999999,2019,,,,,,,14 35334600,MICHELE@DAUX.NET.BR,WWW.DAUX.NET.BR
LP DO BRASIL INSTITUIÇÃO DE PAGAMENTO LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,34.669.130/0001-33,SP,Campinas,4369453.93,3615648.95,753804.98,,,,4369453.93,-35753.27,2024,,,,,,,19 33818132,ANALUISA@QUAGLIATOADVOGADOS.COM.BR,HTTPS://LOCALPAYMENT.COM/
NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,38.129.006/0001-36,SP,São Paulo,4421652.08,1127039.21,3294612.87,1095298.56,,3258687.03,4421652.08,71824.08,2021,,,,,,,800 8782404,WCHINCHIO@NUMBRS.COM.BR,WWW.NUMBRS.COM.BR
DOURADA CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,76.641.497/0001-99,PR,Curitiba,4457947.31,1628755.56,2829191.75,,,2273938.91,4457947.31,343530.27,1968,,,,,,,41 30284040,DOURADA@DOURADA.COM.BR,WWW.DOURADA.COM.BR
ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,44.478.623/0001-40,SP,Araraquara,4462817.4,1172631.96,3290185.44,908157.72,2993465.22,214.23,4462817.4,-28872.73,2022,,,,,,,16 997614595,ATENDIMENTO@ATICCA.COM.BR,WWW.ATICCA.COM.BR
BAMAQ CAPITAL - SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.528.314/0001-98,MG,Contagem,4654464.25,16383.07,4638081.18,,269036.69,3133370.1,4654464.25,-37290.5,2023,,,,,,,31 997180783,PAULO.MIRANDA@GRUPOBAMAQ.COM.BR;JUNIMAR.SOUZA@GRUPOBAMAQ.COM,
NVIO BRASIL SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,51.118.718/0001-18,SP,São Paulo,4794265.31,5009.4,4789255.91,,,,4794265.31,-31851.47,,,,,,,,19 45600423,LEGAL-BR@BITSO.COM,HTTPS://BITSO.COM/BR
IDEA MAKER INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,45.860.531/0001-92,SP,São Paulo,4929421.36,167525.33,4761896.03,1454.25,,4227714.61,4929421.36,-1040544.56,2023,,,,,,,11 981602860,REGULATORIO@IDEAMAKER.COM.BR,
INICIADOR INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,44.471.172/0001-19,SP,São Paulo,5024704.57,790554.13,4234150.44,,,1843907.33,5024704.57,495586.31,2022,,,,,,,800 8281100,MARCELO@INICIADOR.COM.BR,WWW.INICIADOR.COM.BR
BANSUR JM SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,42.963.742/0001-62,MG,Belo Horizonte,5031879.21,192007.76,4839871.45,,2050142.67,2696848.99,5031879.21,-131805.17,2021,,,,,,,31 36654232,FRED@BANSURJM.COM.BR,WWW.BANSURJM.COM.BR
INTEGRAÇÃO DE CRÉDITO E COBRANÇA SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,51.118.615/0001-58,SP,São Paulo,5068561.22,27384.08,5041177.14,,192335.2,2470149.5,5068561.22,-45575.4,2023,,,,,,,11 999486608,NOTIFICACOES@CREDSERVICE.COM.BR,
MOTTU SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,42.622.791/0001-31,SP,São Paulo,5331350.42,68602.87,5262747.55,,,5131648.71,5331350.42,-323092.8,2022,,,,,,,800 2371361,TRAJANO@MOTTU.COM.BR,
BMS SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,17.826.860/0001-81,CE,Fortaleza,5349647.29,2089166.96,3260480.33,1213002.11,2213539.26,1125052.17,5349647.29,376553.180000001,2013,,,,,,,85 91088590,LEANDRO.SAYAO@BANCOBMS.COM.BR,WWW.BANCOBMS.COM.BR
KONECT SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,50.626.276/0001-58,SP,São Paulo,5376655.54,2764217.78,2612437.76,,979535.31,,5376655.54,1171422.91,2023,,,,,,,800 150001,JURIDICO@KONECTSCD.COM.BR,
REMITLY CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,17.635.177/0001-67,SP,São Paulo,5388565.79,737796.33,4650769.46,,,,5388565.79,1057634.82,2013,,,,,,,800 7705422,RAFAELR@REMITLY.COM,
EXECUTIVE SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,19.086.249/0001-90,RS,Novo Hamburgo,5537731.11,1866157.12,3671573.99,,,27025.3,5537731.11,166726.79,2014,,,,,,,51 33033444,FABIANE.STAUDT@EXECUTIVECAMBIO.COM.BR,WWW.EXECUTIVECAMBIO.COM.BR
HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,44.292.580/0001-03,DF,Brasília,5662164.29,3183268.57,2478895.72,180047.69,593083.63,360237.36,5662164.29,-5542590.38,2022,,,,,,,61 992595533,DIRETORIAFINANCEIRA@HRDIGITALSCD.COM.BR,HTTP:\\WWW.HRDIGITALSCD.COM.BR
MONERY INSTITUICAO DE PAGAMENTO S.A.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,46.505.612/0001-37,SP,Barueri,5687362.93,133824.59,5553538.34,,,5625605.55,5687362.93,69856.19,2024,,,,,,,83 9934203554,BACEN@MONERY.COM.BR,
TRANSFERO INSTITUICAO DE PAGAMENTO LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,47.133.056/0001-88,RJ,Rio De Janeiro,5754452.38,4315214.45,1439237.93,3743838.99,,1771553.17,5754452.38,-106330.98,2023,,,,,,,21 969910114,DANIEL.CAETANI@TRANSFERO.COM,
FONTECRED - SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,33.890.605/0001-54,MG,Lagoa Da Prata,5835175.24,2964489.34,2870685.9,,4267547.04,,5835175.24,-600838.960000001,2019,,,,,,,37 32610900,OUVIDORIA@FONTECRED.COM.BR,WWW.FONTECRED.COM.BR
TROCKA CORRETORA DE CAMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,30.183.111/0001-41,RJ,Rio De Janeiro,5896384.86,4499602.43,1396782.43,,,1175356.32,5896384.86,40568.8100000002,2018,,,,,,,21 20182460,TROCKA@TROCKA.COM,
PERCAPITAL SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.707.451/0001-90,MS,Campo Grande,6131884.93,3407513.4,2724371.53,,169185.9,3320517.0,6131884.93,2031252.69,2022,,,,,,,11 999396411,JCALVES@PERCAPITAL.COM.BR,WWW.PERCAPITAL.COM.BR
MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,44.683.140/0001-87,SP,São Paulo,6153543.33,6081928.75,71614.5799999998,4527335.99,63521.03,437.12,6153543.33,-1099553.33,2022,,,,,,,11 31492590,INSTITUCIONAL@MAGNUMBANK.COM.BR,
"ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.",Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,04.684.647/0001-30,SP,Santos,6177400.91,1987512.98,4189887.93,,,435516.76,6177400.91,492043.45,2001,,,,,,,13 32197444,ARC@ARCCORRETORA.COM.BR,WWW.ARCCORRETORA.COM.BR
LOAN BRASIL SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,50.032.584/0001-55,AM,Manaus,6579651.39,434036.06,6145615.33,,,18149.05,6579651.39,14992.24,,,,,,,,92 984848974,ALBERICO@LOANBRASIL.COM.BR,
EFX CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,94.968.518/0001-67,SP,São Paulo,6585895.77,2089397.18,4496498.59,,,4448107.8,6585895.77,59689.9199999999,1993,,,,,,,11 31562175,GALVAO@EFXCAMBIO.COM.BR,WWW.EFXCAMBIO.COM.BR
IFOOD PAGO SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,51.556.307/0001-04,SP,Osasco,6771067.72,1535443.65,5235624.07,,,946173.06,6771067.72,1691345.69,,,,,,,,11 969115923,COMPLIANCE@ZOOP.COM.BR,
BRX SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,17.904.906/0001-33,RJ,Rio De Janeiro,6899155.28,5626694.43,1272460.85,,,,6899155.28,-226792.76,2013,,,,,,,21 34440399,DIRETORIA@BRXCAMBIO.COM.BR,WWW:/BRXCAMBIO.COM.BR
CORRETORA DE CÂMBIO AÇORIANA LIMITADA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,15.761.217/0001-91,AM,Manaus,7081116.19,6392933.95,688182.24,,,3233466.82,7081116.19,260701.56,2012,,,,,,,11 994186855,DIRETORIA@ACORIANACORRETORA.COM.BR,WWW.ACORIANACORRETORA.COM.BR
TURCÂMBIO - SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,15.482.499/0001-98,SC,Imbituba,7116815.0,1746139.78,5370675.22,,,,7116815.0,623456.86,2012,,,,,,,48 32546200,LEONARDO@TURCAMBIO.COM.BR,WWW.TURCAMBIO.COM.BR
MAG INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,21.995.256/0001-56,RJ,Rio De Janeiro,7275967.43,2046328.32,5229639.11,1248363.54,,1825626.71,7275967.43,-1091809.75,2022,,,,,,,21 37112487,JURIDICO@MAG.COM.BR,
HBI SOCIEDADE DE CRÉDITO DIRETO S/A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,04.849.745/0001-80,MG,Leopoldina,7577027.55,5517069.25,2059958.3,,1290696.57,22168.75,7577027.55,494099.95,2002,,,,,,,32 34410839,RICARDO@HBIFINANCEIRA.COM.BR,
CONECTA CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,18.287.740/0001-16,SP,São Paulo,7643772.33,6077835.08,1565937.25,,,,7643772.33,516597.42,2013,,,,,,,11 45503600,CRISTIANO.ABDALLA@CONECTACAMBIO.COM.BR,WWW.CONECTACAMBIO.COM.BR
GERU SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,37.763.847/0001-38,RJ,Rio De Janeiro,7831732.55,1710807.73,6120924.82,,696781.06,,7831732.55,2328.10999999999,2021,,,,,,,11 995939398,SANDRO@GERU.COM.BR,
LEND SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,37.526.080/0001-23,SP,São Paulo,8295465.06,7220041.23,1075423.83,7053985.64,,1081855.23,8295465.06,-823.279999999984,2020,,,,,,,800 880006,INSTITUCIONAL@LEND.TECH,HTTPS://LEND.TECH/PT
DGBK CREDIT S.A. - SOCIEDADE DE CRÉDITO DIRETO.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.584.954/0001-15,BA,Salvador,8624265.6,2293558.31,6330707.29,1821869.01,6106569.16,556195.42,8624265.6,-139233.66,2022,,,,,,,71 34613875,MARTINS.AFONSO@DGBK.COM.BR,
MULTICRED SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,38.593.706/0001-87,BA,Salvador,8812886.53,221683.65,8591202.88,,2244417.39,6521626.44,8812886.53,154179.54,2021,,,,,,,71 30141241,DIRETORIA@MULTICREDSCD.COM.BR,WWW.MULTICREDSCD.COM.BR
DAPPER - SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.529.228/0001-08,SC,Blumenau,8855424.82,3373104.54,5482320.28,,4254656.64,1258230.18,8855424.82,22990.79,2023,,,,,,,47 996177688,GUSTAVO@DAPPERSCD.COM.BR,
MONOPÓLIO CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,34.666.362/0001-38,PA,Belém,8961272.96,4048178.51,4913094.45,,,76097.24,8961272.96,-331509.8,2014,,,,,,,91 983660012,MEG.HABER@HOTMAIL.COM,WWW.MONOPOLIOCAMBIO.COM.BR
ATF SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,44.728.700/0001-72,RS,Porto Alegre,9034118.23,4775552.54,4258565.69,2519592.2,,,9034118.23,97824.5200000001,2022,,,,,,,51 21215151,COMPLIANCE@ATF.COM.BR,HTTPS://WWW.ATF.COM.BR
ZM SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,49.947.715/0001-45,GO,Águas Lindas De Goiás,9291406.52,849042.02,8442364.5,,6947725.32,1996401.98,9291406.52,1111098.7,2023,,,,,,,61 992660185,LUIZ.BISPO@FBISPO.COM.BR,
ALL IN CRED SOCIEDADE DE CREDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,51.414.521/0001-26,SP,São Paulo,9358687.98,9134530.66,224157.32,24405.38,1947773.56,1557092.31,9358687.98,-487983.73,2023,,,,,,,11 23947274,CLAUDIO@ZILICRED.COM.BR,WWW.ZILICRED.COM.BR
G5 SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,51.212.088/0001-46,SC,São José,9423920.46,544615.72,8879304.74,532031.92,3593958.71,308013.76,9423920.46,11649.62,2023,,,,,,,48 999119600,CONTATO@G5PAY.COM.BR,
GALLERIA - SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,51.604.356/0001-75,SP,Votorantim,9512699.84,3961362.0,5551337.84,,,2382786.23,9512699.84,-1097431.19,2023,,,,,,,15 997744224,FABRICIO@GALLERIAFINANCAS.COM.BR,
PAGPRIME INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,30.944.783/0001-22,GO,Goiânia,9591521.27,6637464.7,2954056.57,5014685.0,,,9591521.27,-1239028.96,2023,,,,,,,800 8886660,COMPLIANCE@BANPRIME.COM,
ONCRED - SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,44.650.156/0001-93,SP,São Caetano Do Sul,9725206.17,761380.97,8963825.2,,7951044.05,1049772.4,9725206.17,1649673.05,2022,,,,,,,11 972831547,FELIPE.BRAZ@FBISPO.COM.BR,
A27 INSTITUICAO DE PAGAMENTOS S/A,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,35.534.511/0001-78,RS,Flores Da Cunha,9730906.65,4537620.9,5193285.75,4477436.88,,6790309.62,9730906.65,-9233.39000000003,2024,,,,,,,,A27@A27PAGAMENTOS.COM.BR,HTTPS://A27PAGAMENTOS.COM.BR/
PAGARE INSTITUICAO DE PAGAMENTO S.A.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,25.104.230/0001-21,SP,São Paulo,10019537.99,4112636.22,5906901.77,1328543.48,317475.06,,10019537.99,-1000591.36,2024,,,,,,,11 981367282,FPCANDIDO@PAGARE.APP,WWW.PAGARE.APP
LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,06.132.348/0001-19,PE,Recife,10092999.54,3426491.02,6666508.52,,,195.32,10092999.54,-461502.16,2004,,,,,,,81 34650808,LABORCAMBIO@GRUPOLABOR.NET,WWW.LABORCAMBIO.COM.BR
CREDI-SHOP - SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,54.733.010/0001-65,PI,Teresina,10367046.27,128908.1,10238138.17,,262407.65,10022482.06,10367046.27,109958.13,,,,,,,,800 5912019,ISMAEL-VILELA@CREDISHOP.COM.BR,
CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,39.676.772/0001-83,BA,Salvador,10653933.25,7821561.13,2832372.12,7235383.4,1085760.64,2999481.89,10653933.25,45448.6800000001,2020,,,,,,,71 34933974,COSIF@CREDIFIT.COM.BR,WWW.CREDIFIT.COM.BR
GET MONEY SOCIEDADE CORRETORA DE CÂMBIO S.A.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,10.853.017/0001-45,SP,São Paulo,10887542.63,2272615.46,8614927.17,,,2580747.79,10887542.63,188143.46,2009,,,,,,,11 30181880,EROLDAO@GETMONEY.COM.BR,WWW.GETMONEY.COM.BR
ATTRUS INSTITUIÇÃO DE PAGAMENTO S/A,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,10.789.035/0001-05,MG,Nova Lima,11672226,8460716.33,3211509.67,4406.36,,194990.93,11672226,638874.28,2023,,,,,,,31 32754223,RICARDO.REIS@ATTRUS.COM,ATTRUS.COM
FOURTRADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,40.353.377/0001-49,RJ,Rio De Janeiro,12133929.07,7418174.58,4715754.49,,,,12133929.07,284550.48,1992,,,,,,,21 22163050,FOURTRADE@FOURTRADE.COM.BR,WWW.FOURTRADE.COM.BR
MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,46.026.562/0001-05,RS,Porto Alegre,12332390.63,11081299.41,1251091.22,9929193.73,1222822.8,,12332390.63,-283659.99,2022,,,,,,,51 985093336,MURILO@MONETARIE.COM.BR,
QUADRA SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,49.555.647/0001-79,SP,São Paulo,12653750.58,9897380.96,2756369.62,9264103.67,,12639594.06,12653750.58,111219.94,2023,,,,,,,,SETUP@QUADRASCD.COM.BR,
OZ CORRETORA DE CÂMBIO S.A.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,04.062.902/0001-03,SP,São Paulo,13038654.9,9181004.64,3857650.26,,,,13038654.9,126702.33,2000,,,,,,,11 31132700,JOSE.ROCHA@OZCAMBIO.COM.BR,HTTPS://OZCAMBIO.COM.BR/
BEETELLER INSTITUIÇÃO DE PAGAMENTO LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,32.074.986/0001-30,MS,Campo Grande,13695809.78,9384287.45,4311522.33,7150401.01,,1346520.26,13695809.78,575951.51,2022,,,,,,,800 5158,LAURINEY.SANTOS@BEETELLER.COM,HTTPS://BEETELLER.COM/
CASAS BAHIA PAY SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,43.167.610/0001-97,SP,São Paulo,13716394.2,409978.94,13306415.26,,,12896223.31,13716394.2,759145.56,,,,,,,,11 42256980,REGULATORIO@GRUPOCASASBAHIA.COM.BR,HTTPS://BANQI.COM.BR/
UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,42.047.025/0001-90,PR,Maringá,14332580.72,9390244.31,4942336.41,3876613.74,2122271.99,,14332580.72,-54420.4900000001,2021,,,,,,,44 991333891,CONTATO@UNAVANTI.COM.BR,WWW.UNAVANTI.COM.BR
SUDACRED SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,20.251.847/0001-56,PR,Curitiba,14345756.65,5045932.79,9299823.86,,10645144.25,393399.69,14345756.65,137485.16,2014,,,,,,,41 32236710,PEREIRA@CONADEC.COM.BR,WWW.SUDACRED.COM.BR
